 ,float,int,id,while,if,num,(,+,-,addop,mulop,$,),;,relop,}
PRIMITIVE_TYPE,PRIMITIVE_TYPE ::= float ,PRIMITIVE_TYPE ::= int ,sync, , , , , , , , , , , , , ,
STATEMENT_LIST',STATEMENT_LIST' ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST' ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST' ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST' ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST' ::= STATEMENT STATEMENT_LIST' , , , , , , ,STATEMENT_LIST' ::= epsilon , , , , ,
STATEMENT_LIST,STATEMENT_LIST ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST ::= STATEMENT STATEMENT_LIST' ,STATEMENT_LIST ::= STATEMENT STATEMENT_LIST' , , , , , , ,sync, , , , ,
SIMPLE_EXPRESSION, , ,SIMPLE_EXPRESSION ::= TERM SIMPLE_EXPRESSION' , , ,SIMPLE_EXPRESSION ::= TERM SIMPLE_EXPRESSION' ,SIMPLE_EXPRESSION ::= TERM SIMPLE_EXPRESSION' ,SIMPLE_EXPRESSION ::= SIGN TERM SIMPLE_EXPRESSION' ,SIMPLE_EXPRESSION ::= SIGN TERM SIMPLE_EXPRESSION' , , , ,sync,sync,sync, ,
EXPRESSION, , ,EXPRESSION ::= SIMPLE_EXPRESSION relop SIMPLE_EXPRESSION , , ,EXPRESSION ::= SIMPLE_EXPRESSION relop SIMPLE_EXPRESSION ,EXPRESSION ::= SIMPLE_EXPRESSION relop SIMPLE_EXPRESSION ,EXPRESSION ::= SIMPLE_EXPRESSION relop SIMPLE_EXPRESSION ,EXPRESSION ::= SIMPLE_EXPRESSION relop SIMPLE_EXPRESSION , , , ,sync,sync, , ,
SIMPLE_EXPRESSION', , , , , , , , , ,SIMPLE_EXPRESSION' ::= addop TERM SIMPLE_EXPRESSION' , , ,SIMPLE_EXPRESSION' ::= epsilon ,SIMPLE_EXPRESSION' ::= epsilon ,SIMPLE_EXPRESSION' ::= epsilon , ,
WHILE,sync,sync,sync,WHILE ::= while ( EXPRESSION ) { STATEMENT } ,sync, , , , , , ,sync, , , ,sync,
IF,sync,sync,sync,sync,IF ::= if ( EXPRESSION ) { STATEMENT } else { STATEMENT } , , , , , , ,sync, , , ,sync,
FACTOR, , ,FACTOR ::= id , , ,FACTOR ::= num ,FACTOR ::= ( EXPRESSION ) , , ,sync,sync, ,sync,sync,sync, ,
DECLARATION,DECLARATION ::= PRIMITIVE_TYPE id ; ,DECLARATION ::= PRIMITIVE_TYPE id ; ,sync,sync,sync, , , , , , ,sync, , , ,sync,
METHOD_BODY,METHOD_BODY ::= STATEMENT_LIST ,METHOD_BODY ::= STATEMENT_LIST ,METHOD_BODY ::= STATEMENT_LIST ,METHOD_BODY ::= STATEMENT_LIST ,METHOD_BODY ::= STATEMENT_LIST , , , , , , ,sync, , , , ,
STATEMENT,STATEMENT ::= DECLARATION ,STATEMENT ::= DECLARATION ,STATEMENT ::= ASSIGNMENT ,STATEMENT ::= WHILE ,STATEMENT ::= IF , , , , , , ,sync, , , ,sync,
ASSIGNMENT,sync,sync,ASSIGNMENT ::= id = EXPRESSION ; ,sync,sync, , , , , , ,sync, , , ,sync,
TERM, , ,TERM ::= FACTOR TERM' , , ,TERM ::= FACTOR TERM' ,TERM ::= FACTOR TERM' , , ,sync, , ,sync,sync,sync, ,
SIGN, , ,sync, , ,sync,sync,SIGN ::= + ,SIGN ::= - , , , , , , , ,
TERM', , , , , , , , , ,TERM' ::= epsilon ,TERM' ::= mulop FACTOR TERM' , ,TERM' ::= epsilon ,TERM' ::= epsilon ,TERM' ::= epsilon , ,
